datetime,NIFTY 50_open,NIFTY 50_high,NIFTY 50_low,NIFTY 50_close
2023-01-02 09:15:59,18131.7,18153.2,18117.05,18141.35
2023-01-02 09:16:59,18142.2,18145.7,18131.4,18135.65
2023-01-02 09:17:59,18133.25,18140.55,18120.65,18140.55
2023-01-02 09:18:59,18139.4,18139.4,18120.15,18130.75
2023-01-02 09:19:59,18130.3,18133.55,18112.15,18112.15
2023-01-02 09:20:59,18115.75,18125.9,18096.6,18117.85
2023-01-02 09:21:59,18118.65,18126.5,18117.6,18122.75
2023-01-02 09:22:59,18122.25,18122.25,18111.1,18114.95
2023-01-02 09:23:59,18114.4,18116.65,18106.5,18116.65
2023-01-02 09:24:59,18117.7,18139.2,18116.55,18131.0
2023-01-02 09:25:59,18130.05,18132.95,18123.15,18131.0
2023-01-02 09:26:59,18131.5,18132.15,18114.65,18114.65
2023-01-02 09:27:59,18113.8,18113.8,18104.0,18109.15
2023-01-02 09:28:59,18109.45,18114.3,18099.4,18103.7
2023-01-02 09:29:59,18102.75,18104.0,18091.35,18101.85
2023-01-02 09:30:59,18101.9,18111.55,18094.25,18094.35
2023-01-02 09:31:59,18093.4,18103.55,18086.5,18103.2
2023-01-02 09:32:59,18103.25,18103.25,18091.7,18096.25
2023-01-02 09:33:59,18096.2,18117.7,18089.95,18112.45
2023-01-02 09:34:59,18112.75,18128.7,18107.1,18122.85
2023-01-02 09:35:59,18121.2,18124.05,18112.4,18123.1
2023-01-02 09:36:59,18122.8,18129.6,18116.2,18129.25
2023-01-02 09:37:59,18129.45,18131.05,18126.7,18130.35
2023-01-02 09:38:59,18131.1,18139.4,18129.05,18133.95
2023-01-02 09:39:59,18134.1,18146.65,18133.5,18146.65
2023-01-02 09:40:59,18146.0,18150.25,18135.0,18135.85
2023-01-02 09:41:59,18136.7,18146.25,18136.7,18146.25
2023-01-02 09:42:59,18145.3,18145.75,18141.7,18143.65
2023-01-02 09:43:59,18144.2,18144.2,18136.1,18141.0
2023-01-02 09:44:59,18140.2,18150.3,18140.2,18150.2
2023-01-02 09:45:59,18150.2,18155.15,18145.5,18145.5
2023-01-02 09:46:59,18143.95,18148.05,18140.35,18148.05
2023-01-02 09:47:59,18148.4,18166.65,18147.7,18164.95
2023-01-02 09:48:59,18164.1,18167.45,18161.1,18162.6
2023-01-02 09:49:59,18162.4,18165.4,18161.15,18163.35
2023-01-02 09:50:59,18164.25,18167.6,18162.55,18166.0
2023-01-02 09:51:59,18165.9,18166.3,18160.25,18162.7
2023-01-02 09:52:59,18162.6,18162.95,18158.65,18160.6
2023-01-02 09:53:59,18159.5,18160.65,18156.85,18159.35
2023-01-02 09:54:59,18159.65,18167.65,18159.3,18165.3
2023-01-02 09:55:59,18164.95,18171.95,18164.45,18168.85
2023-01-02 09:56:59,18167.65,18169.85,18161.95,18165.25
2023-01-02 09:57:59,18164.95,18165.55,18158.45,18158.45
2023-01-02 09:58:59,18158.65,18162.7,18158.65,18162.45
2023-01-02 09:59:59,18161.4,18163.5,18160.3,18160.3
2023-01-02 10:00:59,18160.35,18166.9,18160.35,18161.85
2023-01-02 10:01:59,18161.1,18164.8,18160.9,18163.65
2023-01-02 10:02:59,18164.15,18164.15,18155.25,18160.05
2023-01-02 10:03:59,18159.3,18159.4,18154.7,18159.4
2023-01-02 10:04:59,18158.7,18163.0,18158.7,18162.9
2023-01-02 10:05:59,18163.75,18173.85,18163.75,18167.95
