datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-01-02 09:15:59,43038.25,43134.0,43036.0,43134.0
2023-01-02 09:16:59,43135.4,43151.25,43097.2,43118.3
2023-01-02 09:17:59,43116.5,43121.55,43071.55,43105.7
2023-01-02 09:18:59,43108.2,43108.6,43061.4,43077.45
2023-01-02 09:19:59,43076.55,43091.65,43025.25,43025.25
2023-01-02 09:20:59,43044.6,43069.45,42984.3,43056.05
2023-01-02 09:21:59,43057.8,43057.8,43015.2,43035.1
2023-01-02 09:22:59,43033.7,43034.4,43010.9,43020.75
2023-01-02 09:23:59,43020.15,43033.45,42992.5,43031.05
2023-01-02 09:24:59,43033.6,43111.35,43026.25,43071.9
2023-01-02 09:25:59,43078.25,43085.4,43056.75,43080.65
2023-01-02 09:26:59,43079.55,43086.25,43018.85,43018.85
2023-01-02 09:27:59,43017.3,43026.9,42998.75,43023.6
2023-01-02 09:28:59,43023.5,43033.05,42984.1,42995.65
2023-01-02 09:29:59,42992.65,43012.4,42971.5,42997.95
2023-01-02 09:30:59,43000.85,43024.9,42982.9,42988.35
2023-01-02 09:31:59,42983.7,43006.0,42961.75,43005.0
2023-01-02 09:32:59,43003.1,43015.05,42985.85,43012.35
2023-01-02 09:33:59,43012.75,43126.75,43010.5,43111.05
2023-01-02 09:34:59,43108.4,43164.7,43080.75,43152.0
2023-01-02 09:35:59,43153.25,43153.6,43123.75,43147.95
2023-01-02 09:36:59,43148.8,43195.15,43144.55,43195.15
2023-01-02 09:37:59,43193.9,43201.4,43187.35,43190.0
2023-01-02 09:38:59,43194.4,43231.25,43184.25,43217.95
2023-01-02 09:39:59,43214.9,43249.45,43214.85,43249.45
2023-01-02 09:40:59,43248.3,43259.75,43194.15,43206.5
2023-01-02 09:41:59,43210.25,43234.65,43206.65,43227.5
2023-01-02 09:42:59,43224.35,43227.25,43216.8,43223.85
2023-01-02 09:43:59,43228.55,43235.95,43209.1,43229.65
2023-01-02 09:44:59,43229.45,43276.25,43229.45,43276.25
2023-01-02 09:45:59,43277.95,43284.4,43264.7,43266.75
2023-01-02 09:46:59,43257.0,43284.45,43247.25,43284.45
2023-01-02 09:47:59,43281.2,43327.95,43281.2,43324.65
2023-01-02 09:48:59,43310.75,43330.8,43294.35,43301.65
2023-01-02 09:49:59,43301.05,43309.3,43292.4,43302.4
2023-01-02 09:50:59,43303.6,43315.95,43299.6,43304.5
2023-01-02 09:51:59,43304.75,43305.1,43287.45,43295.5
2023-01-02 09:52:59,43291.0,43291.8,43267.1,43274.85
2023-01-02 09:53:59,43273.2,43274.5,43256.5,43270.85
2023-01-02 09:54:59,43273.1,43307.4,43269.8,43298.95
2023-01-02 09:55:59,43297.3,43334.45,43297.3,43326.3
2023-01-02 09:56:59,43322.3,43334.8,43306.25,43318.5
2023-01-02 09:57:59,43317.85,43321.55,43290.3,43290.65
2023-01-02 09:58:59,43291.75,43312.95,43291.75,43312.95
2023-01-02 09:59:59,43306.1,43324.25,43305.3,43314.35
2023-01-02 10:00:59,43313.05,43330.95,43311.05,43320.6
2023-01-02 10:01:59,43318.05,43340.4,43317.4,43331.0
2023-01-02 10:02:59,43328.6,43336.15,43316.05,43324.2
2023-01-02 10:03:59,43325.95,43326.7,43314.9,43323.95
2023-01-02 10:04:59,43321.85,43331.45,43317.6,43327.55
2023-01-02 10:05:59,43334.15,43362.2,43329.55,43340.25
2023-01-02 10:06:59,43337.75,43347.6,43328.75,43330.4
2023-01-02 10:07:59,43333.75,43333.75,43311.15,43313.75
2023-01-02 10:08:59,43317.55,43325.55,43294.1,43294.4
2023-01-02 10:09:59,43294.3,43326.8,43291.3,43318.1
2023-01-02 10:10:59,43316.45,43329.0,43289.5,43293.0
2023-01-02 10:11:59,43295.25,43295.25,43280.15,43286.75
2023-01-02 10:12:59,43287.0,43287.9,43273.4,43278.9
2023-01-02 10:13:59,43278.7,43281.2,43265.1,43271.85
2023-01-02 10:14:59,43272.05,43275.2,43260.75,43261.65
2023-01-02 10:15:59,43256.1,43266.6,43251.8,43262.55
2023-01-02 10:16:59,43261.25,43263.2,43240.6,43255.1
2023-01-02 10:17:59,43251.15,43271.1,43250.2,43266.9
2023-01-02 10:18:59,43265.55,43284.5,43264.65,43279.25
2023-01-02 10:19:59,43278.45,43279.35,43269.05,43274.65
2023-01-02 10:20:59,43277.9,43290.05,43274.4,43288.95
2023-01-02 10:21:59,43285.8,43301.9,43284.65,43297.6
2023-01-02 10:22:59,43297.3,43302.35,43291.25,43293.0
2023-01-02 10:23:59,43292.1,43299.1,43277.8,43282.15
2023-01-02 10:24:59,43283.85,43286.2,43264.05,43268.85
2023-01-02 10:25:59,43269.05,43282.7,43266.35,43277.3
2023-01-02 10:26:59,43277.6,43289.6,43271.4,43288.0
2023-01-02 10:27:59,43286.35,43289.1,43278.0,43286.45
